Word,Tags
Everest,NNP
rules,NNS
could,MD
get,VB
tougher,RB
as,IN
lawmakers,NNS
push,VBP
sweeping,VBG
tourism,NN
reforms,NNS
By,IN
Sandeep,NNP
Sen,NNP
Published,VBD
:,:
10:34,CD
am,VBP
Jul,NNP
23,CD
",",","
2026,CD
Key,NNP
Takeaways,NNPS
:,:
58,CD
lawmakers,NNS
filed,VBD
263,CD
amendments,NNS
under,IN
House,NNP
Rule,NNP
114,CD
Everest,NNP
proposals,NNS
range,VBP
from,IN
prior,JJ
climbs,NNS
above,IN
"7,000m",CD
to,TO
multiple,VB
"8,000m",CD
summits,NNS
Foreign,NNP
climbers,NNS
may,MD
face,VB
quotas,NNS
",",","
mandatory,JJ
acclimatisation,NN
in,IN
Nepal,NNP
and,CC
permit,NN
auctions,NNS
Adventure,VBP
tourism,NN
expanded,VBN
to,TO
20+,CD
activities,NNS
with,IN
ISO-aligned,NNP
safety,NN
standards,NNS
Casino,NNP
reforms,NNS
include,VBP
a,DT
new,JJ
Casino,NNP
Regulatory,NNP
Unit,NNP
",",","
audits,VBZ
",",","
ownership,NN
rules,NNS
and,CC
AML,NNP
checks,NNS
KATHMANDU,NNP
",",","
JULY,NNP
22,CD
Fifty-eight,JJ
lawmakers,NNS
have,VBP
jointly,RB
registered,VBN
263,CD
amendments,NNS
to,TO
the,DT
Tourism,NNP
Bill,NNP
",",","
2081,CD
",",","
proposing,VBG
far-reaching,JJ
reforms,NNS
across,IN
Nepal,NNP
's,POS
tourism,NN
sector,NN
",",","
including,VBG
stricter,JJR
Everest,NNP
climbing,NN
requirements,NNS
",",","
a,DT
new,JJ
tourism,NN
regulator,NN
",",","
casino,NN
sector,NN
restructuring,NN
",",","
stronger,JJR
environmental,JJ
safeguards,NNS
and,CC
expanded,JJ
adventure,NN
tourism,NN
regulations,NNS
.,.
The,DT
amendments,NNS
",",","
filed,VBN
under,IN
House,NNP
Rule,NNP
114,CD
and,CC
endorsed,VBN
by,IN
Speaker,NNP
Dol,NNP
Prasad,NNP
Aryal,NNP
for,IN
discussion,NN
",",","
target,NN
almost,RB
every,DT
chapter,NN
of,IN
the,DT
bill,NN
",",","
which,WDT
was,VBD
unanimously,RB
passed,VBN
by,IN
the,DT
National,NNP
Assembly,NNP
in,IN
February,NNP
and,CC
is,VBZ
now,RB
awaiting,VBG
clause-wise,NN
deliberation,NN
by,IN
the,DT
House,NNP
committee,NN
.,.
Everest,NNP
rules,NNS
and,CC
mountaineering,VBG
under,IN
scrutiny,JJ
One,CD
of,IN
the,DT
most,RBS
debated,JJ
issues,NNS
concerns,NNS
eligibility,NN
criteria,NNS
for,IN
climbers,NNS
seeking,VBG
to,TO
summit,VB
Mt,NNP
Everest,NNP
and,CC
other,JJ
"8,000-metre",JJ
peaks,NNS
.,.
Suggestions,NNS
range,VBP
from,IN
requiring,VBG
climbers,NNS
to,TO
have,VB
previously,RB
summited,VBN
at,IN
least,JJS
one,CD
"7,000-metre",JJ
peak,NN
in,IN
Nepal,NNP
and,CC
completed,VBD
mandatory,JJ
training,NN
and,CC
health,NN
checks,NNS
",",","
to,TO
stricter,VB
provisions,NNS
demanding,VBG
experience,NN
on,IN
both,DT
"7,000-metre",JJ
and,CC
"8,000-metre",JJ
mountains,NNS
.,.
Some,DT
proposals,NNS
call,VBP
for,IN
anyone,NN
attempting,VBG
an,DT
"8,000-metre",JJ
peak,NN
to,TO
first,VB
complete,JJ
multiple,JJ
climbs,NNS
above,IN
"6,000m",CD
and,CC
"7,000m",CD
",",","
while,IN
the,DT
most,RBS
stringent,JJ
recommendation,NN
would,MD
require,VB
Everest,NNP
aspirants,NNS
to,TO
have,VB
climbed,VBN
one,CD
"7,000-metre",JJ
peak,NN
and,CC
two,CD
"8,000-metre",JJ
peaks,NNS
.,.
At,IN
the,DT
other,JJ
end,NN
",",","
a,DT
more,RBR
lenient,JJ
proposal,NN
seeks,VBZ
only,RB
prior,JJ
experience,NN
on,IN
two,CD
smaller,JJR
or,CC
medium-altitude,JJ
mountains,NNS
before,IN
attempting,VBG
Everest,NNP
.,.
Several,JJ
amendments,NNS
also,RB
seek,VBP
tighter,JJR
regulation,NN
of,IN
expeditions,NNS
",",","
including,VBG
limiting,VBG
climbing,VBG
to,TO
government-designated,JJ
peaks,NNS
",",","
requiring,VBG
foreign,JJ
climbers,NNS
to,TO
use,VB
Nepal-licensed,JJ
agencies,NNS
",",","
mandating,VBG
acclimatisation,NN
within,IN
Nepal,NNP
",",","
and,CC
introducing,VBG
climber,NN
quotas,NNS
based,VBN
on,IN
a,DT
mountain,NN
's,POS
carrying,NN
capacity,NN
and,CC
weather,NN
conditions,NNS
.,.
Another,DT
proposal,NN
calls,VBZ
for,IN
permits,NNS
within,IN
the,DT
quota,NN
to,TO
be,VB
allocated,VBN
through,IN
a,DT
bidding,NN
system,NN
.,.
On,IN
workforce,NN
welfare,NN
",",","
lawmakers,NNS
have,VBP
proposed,VBN
reserving,VBG
all,DT
expedition,NN
roles-including,NN
guides,NNS
",",","
sirdars,NNS
",",","
support,NN
staff,NN
",",","
cooks,NN
and,CC
media,NNS
personnel-for,JJ
Nepali,NNP
citizens,NNS
",",","
ensuring,VBG
salaries,NNS
are,VBP
paid,VBN
through,IN
Nepali,NNP
banks,NNS
with,IN
tax,NN
deductions,NNS
at,IN
source,NN
.,.
Other,JJ
recommendations,NNS
include,VBP
limiting,VBG
loads,NNS
carried,VBN
by,IN
support,NN
workers,NNS
above,IN
base,NN
camp,NN
",",","
guaranteeing,VBG
workers,NNS
the,DT
right,NN
to,TO
refuse,VB
unsafe,JJ
assignments,NNS
",",","
introducing,VBG
a,DT
national,JJ
certification,NN
system,NN
for,IN
mountain,NN
workers,NNS
",",","
and,CC
setting,VBG
minimum,JJ
wages,NNS
in,IN
line,NN
with,IN
government,NN
labour,NN
standards,NNS
.,.
Trekking,NNP
and,CC
adventure,JJ
tourism,NN
expansion,NN
The,DT
amendments,NNS
also,RB
seek,VBP
to,TO
modernise,VB
trekking,NN
and,CC
adventure,NN
tourism,NN
regulations,NNS
by,IN
clearly,RB
defining,VBG
categories,NNS
such,JJ
as,IN
trekking,VBG
agencies,NNS
",",","
mountain,NN
guides,NNS
",",","
porters,NNS
and,CC
support,NN
workers,NNS
.,.
Lawmakers,NNS
have,VBP
proposed,VBN
expanding,VBG
the,DT
list,NN
of,IN
officially,RB
recognised,VBN
adventure,NN
activities,NNS
to,TO
include,VB
skiing,NN
",",","
heli-skiing,NN
",",","
bungee,NN
jumping,NN
",",","
canyoning,VBG
",",","
ultralight,JJ
flights,NNS
",",","
mountain,NN
biking,NN
",",","
kayaking,NN
",",","
parasailing,VBG
",",","
sky-walking,JJ
",",","
cave,JJ
exploration,NN
and,CC
mountain,NN
marathons,NNS
",",","
among,IN
others,NNS
.,.
Several,JJ
amendments,NNS
call,VB
for,IN
mandatory,JJ
safety,NN
standards,NNS
aligned,VBN
with,IN
international,JJ
norms,NNS
",",","
compulsory,JJ
inspections,NNS
before,IN
licensing,NN
",",","
and,CC
the,DT
requirement,NN
that,WDT
tourists,VBZ
on,IN
designated,VBN
high-risk,NN
routes,NNS
be,VB
accompanied,VBN
by,IN
licensed,JJ
Nepali,NNP
guides,NNS
or,CC
porters,NNS
.,.
Porter,NNP
welfare,NN
has,VBZ
also,RB
featured,VBN
prominently,RB
",",","
with,IN
proposals,NNS
to,TO
cap,VB
loads,NNS
at,IN
20,CD
kilograms,NNS
and,CC
reduce,VB
the,DT
limit,NN
to,TO
15,CD
kilograms,NNS
above,IN
"3,500",CD
metres,NNS
.,.
Casino,NNP
sector,NN
faces,VBZ
overhaul,JJ
proposals,NNS
The,DT
casino,NN
chapter,NN
has,VBZ
attracted,VBN
a,DT
wide,JJ
range,NN
of,IN
amendments,NNS
",",","
including,VBG
calls,NNS
to,TO
remove,VB
casino,NN
provisions,NNS
from,IN
the,DT
Tourism,NNP
Bill,NNP
altogether,RB
and,CC
regulate,VB
the,DT
sector,NN
through,IN
separate,JJ
legislation,NN
.,.
Other,JJ
proposals,NNS
seek,VBP
the,DT
creation,NN
of,IN
an,DT
independent,JJ
Casino,NNP
Regulatory,NNP
Unit,NNP
(,(
CRU,NNP
),)
to,TO
oversee,VB
the,DT
industry,NN
instead,RB
of,IN
the,DT
Department,NNP
of,IN
Tourism,NNP
.,.
Lawmakers,NNS
have,VBP
also,RB
suggested,VBN
stricter,NN
ownership,NN
and,CC
licensing,NN
requirements,NNS
",",","
audits,NNS
of,IN
outstanding,JJ
casino,NN
dues,NNS
",",","
mandatory,JJ
cybersecurity,NN
assessments,NNS
",",","
anti-money,JJ
laundering,NN
compliance,NN
measures,NNS
and,CC
public,JJ
disclosure,NN
of,IN
beneficial,JJ
ownership,NN
.,.
Some,DT
amendments,NNS
propose,VBP
allowing,VBG
the,DT
government,NN
to,TO
designate,VB
specialised,VBN
``,``
Casino,NNP
Zones,NNP
'',''
or,CC
``,``
Casino,NN
Villages,NNS
'',''
following,VBG
feasibility,NN
studies,NNS
.,.
Stronger,JJR
waste,NN
management,NN
and,CC
sustainability,NN
measures,NNS
Environmental,NNP
protection,NN
is,VBZ
another,DT
major,JJ
theme,NN
of,IN
the,DT
amendments,NNS
.,.
Proposals,NNS
include,VBP
a,DT
``,``
Zero,NNP
Waste,NN
Policy,NNP
'',''
requiring,VBG
digital,JJ
tracking,NN
of,IN
equipment,NN
and,CC
waste,NN
carried,VBD
into,IN
mountain,NN
regions,NNS
",",","
refundable,JJ
environmental,JJ
deposits,NNS
to,TO
ensure,VB
waste,NN
retrieval,NN
and,CC
a,DT
ban,NN
on,IN
single-use,NN
plastics,NNS
in,IN
mountaineering,VBG
areas,NNS
.,.
Lawmakers,NNS
have,VBP
also,RB
proposed,VBN
waste-processing,NN
facilities,NNS
near,IN
major,JJ
base,NN
camps,NNS
",",","
mandatory,JJ
removal,NN
of,IN
ropes,NNS
and,CC
ladders,NNS
after,IN
climbing,VBG
seasons,NNS
",",","
restrictions,NNS
on,IN
drones,NNS
and,CC
helicopters,NNS
above,IN
"6,000",CD
metres,NNS
",",","
and,CC
stronger,JJR
accountability,NN
for,IN
trekking,VBG
agencies,NNS
regarding,VBG
waste,NN
disposal,NN
and,CC
recovery,NN
operations,NNS
.,.
Additional,NNP
provisions,NNS
advocate,VBP
carbon-neutral,JJ
Himalayan,NNP
tourism,NN
",",","
protection,NN
of,IN
natural,JJ
and,CC
heritage,NN
rivers,NNS
",",","
and,CC
energy-efficiency,NN
standards,NNS
for,IN
tourism,NN
establishments,NNS
.,.
New,NNP
tourism,NN
authority,NN
proposed,VBN
Among,IN
the,DT
most,RBS
significant,JJ
institutional,JJ
reforms,NNS
is,VBZ
a,DT
proposal,NN
to,TO
establish,VB
an,DT
autonomous,JJ
Nepal,NNP
Tourism,NNP
Authority,NNP
by,IN
restructuring,VBG
the,DT
Department,NNP
of,IN
Tourism,NNP
and,CC
separating,VBG
regulatory,JJ
functions,NNS
from,IN
promotional,JJ
activities,NNS
.,.
Other,JJ
governance-related,JJ
amendments,NNS
include,VBP
the,DT
creation,NN
of,IN
a,DT
Tourism,NNP
Development,NNP
Fund,NNP
",",","
a,DT
Tourism,NNP
Ombudsman,NNP
",",","
a,DT
public,JJ
licence,NN
registry,NN
and,CC
blockchain-based,JJ
record-keeping,JJ
systems,NNS
for,IN
permits,NNS
and,CC
rescue,NN
